자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
제일자동차공업사,2,강원특별자치도 고성군 토성면 중앙로 499,강원특별자치도 고성군 토성면 용촌리 46,38.229916,128.5810072,2023-03-22,1487,1,,,,,,,강원특별자치도 고성군청,033-680-3022,2025-12-23
금강자동차공업사,3,강원특별자치도 고성군 토성면 고성대로 688-5,강원특별자치도 고성군 토성면 신평리 157-1,38.25361507,128.5359473,2021-10-07,1162,1,,,,,,033-633-8297,강원특별자치도 고성군청,033-680-3022,2025-12-23
형대카센터,3,강원특별자치도 고성군 죽왕면 향목서길 3-1,강원특별자치도 고성군 죽왕면 향목리 289-3,38.3769543,128.4834991,2017-11-15,112,1,,,,,,,강원특별자치도 고성군청,033-680-3022,2025-12-23
형제카센타,3,강원특별자치도 고성군 거진읍 벌평로 112,강원특별자치도 고성군 거진읍 화포리 28-1,38.4515162,128.4460717,2016-08-25,2053,1,,,,,,033-682-1988,강원특별자치도 고성군청,033-680-3022,2025-12-23
토성신화공업사,2,강원특별자치도 고성군 토성면 잼버리동로 594-11,강원특별자치도 고성군 토성면 용촌리 574-8,38.23727875,128.5711604,2016-02-16,1282,1,,,,,,033-636-3292,강원특별자치도 고성군청,033-680-3022,2025-12-23
월드카센터,3,강원특별자치도 고성군 간성읍 남천마루길 38,강원특별자치도 고성군 간성읍 신안리 142-12,38.37858544,128.4763087,2013-11-28,515,1,,,,,,033-681-0989,강원특별자치도 고성군청,033-680-3022,2025-12-23
수성자동차공업사,2,강원특별자치도 고성군 죽왕면 동해대로 6546-16,강원특별자치도 고성군 죽왕면 향목리 23-9,38.38104317,128.4951839,2004-11-11,765,1,,,,,,,강원특별자치도 고성군청,033-680-3022,2025-12-23
청간정 카센타,3,강원특별자치도 고성군 토성면 동해대로 5128,강원특별자치도 고성군 토성면 청간리 12,38.266363,128.555232,2003-12-30,169,1,,,,,,033-631-0085,강원특별자치도 고성군청,033-680-3022,2025-12-23
고성폐차산업,99,강원특별자치도 고성군 죽왕면 동해대로 6579,강원특별자치도 고성군 죽왕면 향목리 17,38.38016522,128.4927487,2003-11-08,3818,1,,,,,,033-681-1441,강원특별자치도 고성군청,033-680-3022,2025-12-23
감동모터스,3,강원특별자치도 고성군 간성읍 간성로 116,강원특별자치도 고성군 간성읍 상리 165,38.3820022,128.464052,2001-12-21,1232,1,,,,,,033-681-6622,강원특별자치도 고성군청,033-680-3022,2025-12-23
대대리부분정비공업사,3,강원특별자치도 고성군 거진읍 대대3길 5,강원특별자치도 고성군 거진읍 대대리 300-4,38.388145,128.4587417,2000-08-16,188,1,,,,,,033-681-2669,강원특별자치도 고성군청,033-680-3022,2025-12-23
"케이지모빌리티강원고성서비스파라자,애니카랜드 고성",3,강원특별자치도 고성군 거진읍 진부령로 2896,강원특별자치도 고성군 거진읍 대대리 245,38.389008,128.4610546,1999-12-24,184,1,,,,,,033-681-5600,강원특별자치도 고성군청,033-680-3022,2025-12-23
대림카서비스,3,강원특별자치도 고성군 죽왕면 동해대로 6611,강원특별자치도 고성군 죽왕면 향목리 178-2,38.37924916,128.4893874,1998-12-22,520,1,,,,,,033-681-4285,강원특별자치도 고성군청,033-680-3022,2025-12-23
오공카인테리어,3,강원특별자치도 고성군 토성면 용촌2길 7,강원특별자치도 고성군 토성면 용촌리 153,38.233015,128.5770142,1998-11-25,472,1,,,,,,033-636-5081,강원특별자치도 고성군청,033-680-3022,2025-12-23
한국카센타,3,강원특별자치도 고성군 간성읍 간성북로 28,강원특별자치도 고성군 간성읍 신안리 332-1,38.381251,128.4724608,1998-04-15,167,1,,,,,,033-681-6240,강원특별자치도 고성군청,033-680-3022,2025-12-23
강원카센타,3,강원특별자치도 고성군 거진읍 거탄진로 46,강원특별자치도 고성군 거진읍 거진리 398-4,38.4393664,128.4523062,1997-12-24,763,1,,,,,,033-682-0515,강원특별자치도 고성군청,033-680-3022,2025-12-23
털보자동차공업사,3,강원특별자치도 고성군 간성읍 간성로 17,강원특별자치도 고성군 간성읍 신안리 162-2,38.3785131,128.4731771,1997-08-28,272,1,,,,,,033-682-5263,강원특별자치도 고성군청,033-680-3022,2025-12-23
미성자동차공업사,3,강원특별자치도 고성군 토성면 동해대로 4853,강원특별자치도 고성군 토성면 봉포리 42-29,38.245667,128.5682561,1997-07-16,763,3,,,,,,033-633-7967,강원특별자치도 고성군청,033-680-3022,2025-12-23
고성현대서비스,1,강원특별자치도 고성군 죽왕면 향목길 14,강원특별자치도 고성군 죽왕면 향목리 111,38.38075469,128.4899951,1995-07-05,1418,1,,,,,,033-682-5050,강원특별자치도 고성군청,033-680-3022,2025-12-23
고성 서비스 기아 오토큐,1,강원특별자치도 고성군 죽왕면 선유담길 68,강원특별자치도 고성군 죽왕면 공현진리 426-1,38.35956284,128.5036771,1995-05-09,4875,1,,,,,,033-631-7001,강원특별자치도 고성군청,033-680-3022,2025-12-23
고성1급한일공업사,1,강원특별자치도 고성군 거진읍 낙산길 12,강원특별자치도 고성군 거진읍 송포리 250-1,38.436046,128.4478658,1981-10-02,2221,1,,,,,,033-680-7777,강원특별자치도 고성군청,033-680-3022,2025-12-23
