자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
동해대형현대서비스(주),1,강원특별자치도 동해시 강원남부로 4610(단봉동),강원특별자치도 동해시 단봉동 450,37.46206765,129.1155928,2017-04-28,1881,1,,,,09:00,18:00,033-522-3058,강원특별자치도 동해시청,033-530-2250,2026-02-02
창원공업사,1,강원특별자치도 동해시 강원남부로 4692(단봉동),강원특별자치도 동해시 단봉동 481,37.46949162,129.1152597,2007-07-20,726.2,1,,,,09:00,18:00,033-521-8779,강원특별자치도 동해시청,033-530-2250,2026-02-02
금동종합정비공업사,1,강원특별자치도 동해시 공단2로 7-11,강원특별자치도 동해시 구호동 242-2,37.47138252,129.1421968,2010-06-18,3969.6,1,,,,09:00,18:00,033-521-5000,강원특별자치도 동해시청,033-530-2250,2026-02-02
대륜공업사,1,강원특별자치도 동해시 공단7로 32(구호동),강원특별자치도 동해시 구호동 243-31,37.47541199,129.1392673,2012-01-04,827,1,,,,09:00,18:00,033-521-8077,강원특별자치도 동해시청,033-530-2250,2026-02-02
뉴동해항산업주식회사,1,강원특별자치도 동해시 대동로 261-8(송정동),강원특별자치도 동해시 송정동 1052-1,37.49292874,129.1240565,1988-06-02,3802,3,2025-07-31,,,09:00,18:00,033-522-4018,강원특별자치도 동해시청,033-530-2250,2026-02-02
(주)디에치에스,1,강원특별자치도 동해시 동해대로 4497(대구동),강원특별자치도 동해시 대구동 1-8,37.46641431,129.1472027,2016-07-01,12667,1,,,,09:00,18:00,033-534-7799,강원특별자치도 동해시청,033-530-2250,2026-02-02
해운공업동해㈜,1,강원특별자치도 동해시 동해대로 4549(대구동),강원특별자치도 동해시 대구동 36-1,37.46907846,129.1413879,2002-03-20,5579,1,,,,09:00,18:00,033-522-2671,강원특별자치도 동해시청,033-530-2250,2026-02-02
도원,1,강원특별자치도 동해시 추암공단1로 6(추암동),강원특별자치도 동해시 추암동 662,37.46868319,129.1440666,2016-05-10,1500,1,,,,09:00,18:00,,강원특별자치도 동해시청,033-530-2250,2026-02-02
항도공업사,1,강원특별자치도 동해시 동해대로 5026(효가동),강원특별자치도 동해시 효가동 181,37.49431219,129.1120162,1997-03-28,2247,1,,,,09:00,18:00,033-521-3689,강원특별자치도 동해시청,033-530-2250,2026-02-02
동해정비㈜,1,강원특별자치도 동해시 삼화로 201-33(삼화동),강원특별자치도 동해시 삼화동 45,37.47572959,129.0506674,1992-03-31,1930,1,,,,09:00,18:00,033-520-1620,강원특별자치도 동해시청,033-530-2250,2026-02-02
