자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
(주)화천정비사업소,99,강원특별자치도 화천군 화천읍 노신로 67,강원특별자치도 화천군 화천읍 신읍리 591-4,38.1174064096,127.6998940666,2012-03-14,2528,1,,,,,,033-441-4417,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
스피드메이트 화천점,3,강원특별자치도 화천군 화천읍 산수화로 83,강원특별자치도 화천군 화천읍 중리 184-16,38.1125027155,127.7109720478,2010-08-02,396,1,,,,,,033-442-7233,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
충남자동차부분정비업,3,강원특별자치도 화천군 화천읍 중앙로 1길 31,강원특별자치도 화천군 화천읍 하리 68-6,38.1062252795,127.7058457138,2002-10-04,544,1,,,,,,033-442-7970,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
간동자동차정비,3,강원특별자치도 화천군 간동면 간척월명로 288,강원특별자치도 화천군 간동면 오음리 592-7,38.0529660672,127.8175860912,2004-07-31,198,1,,,,,,033-442-1902,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
한양자동차부분정비,3,강원특별자치도 화천군 상서면 다파로 50,강원특별자치도 화천군 상서면 다목리 450-5,38.1756268415,127.5381576922,2005-01-01,275,1,,,,,,033-441-7158,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
재성카부분정비,3,강원특별자치도 화천군 상서면 산양길15,강원특별자치도 화천군 상서면 산양리 525-20,38.2103433056,127.6657418096,1999-11-01,194,1,,,,,,033-442-0584,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
만물자동차부분정비,3,강원특별자치도 화천군 하남면 용화산로 1303-20,강원특별자치도 화천군 하남면 용암리 1181,38.087529749,127.6998360589,1998-09-02,176,1,,,,,,033-442-0236,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
신일카부분정비,3,강원특별자치도 화천군 화천읍 상승로 108,강원특별자치도 화천군 화천읍 상리 51-2,38.110357,127.704681,1997-12-30,507,1,,,,,,033-442-7744,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
경춘자동차부분정비공업사,3,강원특별자치도 화천군 사내면 포화로 1143,강원특별자치도 화천군 사내면 사창리 367-1,38.0688594613,127.5220494125,1997-12-17,121,1,,,,,,033-441-0834,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
윤상호카클리닉,3,강원특별자치도 화천군 사내면 수피령로 13,강원특별자치도 화천군 사내면 사창리 224-3,38.0689208028,127.5256094626,2016-11-21,306,1,,,,,,033-441-8270,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
ok타이어,3,강원특별자치도 화천군 화천읍 옹기점길 14,강원특별자치도 화천군 화천읍 신읍리 638-2,38.1139638984,127.699063359,2017-04-17,1778,1,,,,,,033-442-1121,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
오토피아,3,강원특별자치도 화천군 화천읍 산수화로5길 11,강원특별자치도 화천군 화천읍 중리 191-21,38.1096605253,127.7082795978,2010-08-04,882,1,,,,,,033-442-0043,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
KG모터스 화천서비스프라자,3,강원특별자치도 화천군 하남면 춘화로 3258,강원특별자치도 화천군 하남면 용암리 1126-9,38.0918577819,127.6985605877,2015-07-21,659,1,,,,,,033-442-5582,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
원투공업사,1,강원특별자치도 화천군 사내면 창안산길 2,강원특별자치도 화천군 사내면 사창리 399-2,38.0711357824,127.5245601083,2012-03-30,472,1,,,,,,033-441-6651,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
그린종합정비공업사,1,강원특별자치도 화천군 화천읍 상승로8길 15-6,강원특별자치도 화천군 화천읍 상리 52-9,38.1109614595,127.7051426157,2000-10-06,153,1,,,,,,033-442-1237,강원특별자치도 화천군 지역경제과,033-440-2107,2026-01-12
