자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
㈜신덕계공업사,1,경기도 양주시 평화로 1515-13,,37.82527118,127.0503496,1987-07-25,2886,1,,,,09:00,18:00,031-863-3458,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
(주)광적공업사,1,경기도 양주시 광적면 광적로 314,,37.84215397,126.966844,1994-10-28,4150,1,,,,09:00,18:00,031-855-3500,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
(주)광진자동차종합정비센타,1,경기도 양주시 광적면 광적로 444,,37.85274009,126.9607398,1994-12-12,6059,1,,,,09:00,18:00,031-871-8491,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
(주)양주자동차정비공업사,1,경기도 양주시 평화로 1617(회정동),,37.83364152,127.0533951,1995-01-24,3492,1,,,,09:00,18:00,031-858-6065,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
대성공업㈜,1,경기도 양주시 백석읍 부흥로1204번길 33,,37.79112434,127.0102315,1995-05-22,1784,1,,,,09:00,18:00,031-879-4036,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
흥명자동차공업사,1,경기도 양주시 광적면 부흥로 931,,37.81075111,126.9932681,1995-12-03,1000,1,,,,09:00,18:00,031-836-1102,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
(주)일광자동차서비스,1,경기도 양주시 장흥면 호국로123번길 12,경기도 양주시 장흥면 일영리 331-3,37.71501868,126.9355663,1999-01-30,1030,1,,,,09:00,18:00,031-855-0803,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
한국지엠북부서비스센터㈜,1,경기도 양주시 청담로 171,경기도 양주시 고암동 457-1,37.81580746,127.0714035,1999-09-03,2594,1,,,,09:00,18:00,031-863-0020,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
화성특장공업,1,경기도 양주시 화합로1325번길 257,"경기도 양주시 덕정동 59, 외 4",37.85260109,127.067603,2003-02-05,3747,1,,,,09:00,18:00,031-859-4311,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
㈜우리자동차 본점,1,경기도 양주시 어하고개로 150-30(삼숭동),,37.8122192,127.1116563,2004-01-14,290,1,,,,09:00,18:00,031-821-2512,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
현대그린카독크㈜,1,경기도 양주시 백석읍 부흥로1204번길 35,"경기도 양주시 백석읍 방성리 553-4,-8",37.79091537,127.0095988,2006-03-08,806,1,,,,09:00,18:00,031-836-9925,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
(주)용암자동차공업사,1,경기도 양주시 은현면 화합로1094번길 71,,37.84846701,127.0360038,2006-03-09,877,1,,,,09:00,18:00,031-859-2767,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
㈜엔비모터스파크,1,경기도 양주시 백석읍 중앙로 306,,37.79933633,126.9804931,2007-07-10,2969,1,,,,09:00,18:00,031-855-9123,경기도 양주시 차량관리과,031-8082-6611,2025-09-12
