자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
아주공업사,3,경기도 이천시 호법면 이섭대천로 815-32,경기도 이천시 호법면 유산리 130-1,37.24432365,127.4385394,2018-06-26,785,1,,,,,,031-635-8352,경기도 이천시청,031-644-2373,2026-03-02
아주상사,3,경기도 이천시 호법면 이섭대천로 815-38,경기도 이천시 호법면 유산리 129-1,37.24447542,127.4381889,2007-10-18,2650,1,,,,,,031-631-1555,경기도 이천시청,031-644-2373,2026-03-02
안흥종합자동차,3,경기도 이천시 설봉로 35(관고동),경기도 이천시 관고동 25-2,37.27958824,127.4374555,2011-07-26,455,2,,2015-07-09,,,,031-634-9126,경기도 이천시청,031-644-2373,2026-03-02
애니카랜드 증포점,3,경기도 이천시 애련정로163번길 9,경기도 이천시 증포동 387-4,37.28544437,127.4502249,2006-01-18,192,1,,,,,,031-636-7951,경기도 이천시청,031-644-2373,2026-03-02
양심종합카쎈타,3,경기도 이천시 부발읍 중부대로 1859,경기도 이천시 부발읍 신원리 541-1,37.29220367,127.5125552,2000-11-11,108,1,,,,,,031-636-8097,경기도 이천시청,031-644-2373,2026-03-02
양정자동차공업사,3,경기도 이천시 관고재로 9,경기도 이천시 관고동 213,37.28186325,127.433711,2000-04-19,78,1,,,,,,031-636-9449,경기도 이천시청,031-644-2373,2026-03-02
에스씨미디어(주),3,경기도 이천시 마장면 이장로 155-23,경기도 이천시 마장면 이치리 161-1,37.2662005,127.3787189,2020-11-18,3492,1,,,,,,,경기도 이천시청,031-644-2373,2026-03-02
엘에이오토센터 유한회사,3,경기도 이천시 대월면 경충대로 1566-6,경기도 이천시 대월면 장평리 31-4,37.22024856,127.5272549,2018-07-16,2455,1,,,,,,031-634-1340,경기도 이천시청,031-644-2373,2026-03-02
여명자동차공업사,3,경기도 이천시 진상미로 2063,경기도 이천시 단월동 244-8,37.23172766,127.4481911,1999-05-25,1495,1,,,,,,031-632-8404,경기도 이천시청,031-644-2373,2026-03-02
영신자동차공업사,3,경기도 이천시 부발읍 중부대로 1235-1,경기도 이천시 부발읍 가좌리 333-22,37.26242657,127.4586546,2002-08-11,112,1,,,,,,031-631-4600,경기도 이천시청,031-644-2373,2026-03-02
예인자동차공업사,3,경기도 이천시 율면 고당로 143,경기도 이천시 율면 고당리 242-21,37.09562728,127.5464115,1998-09-15,461,1,,,,,,031-641-8300,경기도 이천시청,031-644-2373,2026-03-02
오토리페어(이천점),3,경기도 이천시 진상미로 2359,경기도 이천시 장록동 285-1,37.25545132,127.4564317,2016-08-08,1695,1,,,,,,031-634-8286,경기도 이천시청,031-644-2373,2026-03-02
(주)중부VTS_이천지점,1,경기도 이천시 장호원읍 서동대로8809번길 165,경기도 이천시 장호원읍 장호원리 327-39,37.12260695,127.6131769,2017-03-12,7876,1,,,,,,031-643-3716,경기도 이천시청,031-644-2373,2026-03-02
오토오아시스 이천안흥점,3,경기도 이천시 구만리로 191,경기도 이천시 안흥동 474,37.27427841,127.4544472,2019-03-04,149,1,,,,,,031-634-2031,경기도 이천시청,031-644-2373,2026-03-02
오토오아시스이천터미널점,3,경기도 이천시 경충대로 2578(중리동),경기도 이천시 중리동 461-3,37.275161,127.4465073,2003-12-11,149.4,3,2014-11-26,,,,,,경기도 이천시청,031-644-2373,2026-03-02
온게러지,3,경기도 이천시 부발읍 중부대로1204번길 24-12,경기도 이천시 부발읍 가좌리 296-11,37.2596572,127.4591742,2023-02-14,215.5,1,,,,,,,경기도 이천시청,031-644-2373,2026-03-02
무촌자동차공업사,1,경기도 이천시 부발읍 무촌로18번길 56-15,경기도 이천시 부발읍 마암리 102-1,37.27907475,127.4778852,2017-08-21,1800,1,,,,,,031-631-3885,경기도 이천시청,031-644-2373,2026-03-02
원명자동차공업사,3,경기도 이천시 부발읍 중부대로 2019,경기도 이천시 부발읍 고백리 312-16,37.29385197,127.5305785,2014-01-09,1498,1,,,,,,,경기도 이천시청,031-644-2373,2026-03-02
원자동차공업사,3,경기도 이천시 단월로 57,경기도 이천시 단월동 366-11,37.22367983,127.4501651,2001-02-25,351,1,,,,,,031-631-3133,경기도 이천시청,031-644-2373,2026-03-02
원효자동차클럽,3,경기도 이천시 대월면 대월로 983,경기도 이천시 대월면 사동리 360,37.24227785,127.4981353,2001-08-28,316,3,2024-11-04,,,,,031-636-8005,경기도 이천시청,031-644-2373,2026-03-02
월드자동차공업사,3,경기도 이천시 경충대로2598번길 24-16(중리동),경기도 이천시 중리동 458-7,37.27607864,127.4455913,1998-12-01,137,1,,,,,,031-634-2249,경기도 이천시청,031-644-2373,2026-03-02
월드카공업사,3,경기도 이천시 설봉로30번길 32,경기도 이천시 중리동 170-3,37.27866501,127.4394822,2005-01-21,119,1,,,,,,031-634-2249,경기도 이천시청,031-644-2373,2026-03-02
유진카독크,3,경기도 이천시 중리천로 134-21,경기도 이천시 중리동 466-7,37.27521307,127.4477746,1999-12-18,416,1,,,,,,031-634-2662,경기도 이천시청,031-644-2373,2026-03-02
율면자동차공업사,3,경기도 이천시 율면 고당로 122-1,경기도 이천시 율면 고당리 406-3,37.09360809,127.5457094,2002-06-19,330,1,,,,,,031-643-8866,경기도 이천시청,031-644-2373,2026-03-02
율모터스,3,경기도 이천시 장호원읍 경충대로 174,경기도 이천시 장호원읍 풍계리 213-25,37.12851548,127.6124982,2018-11-20,483,1,,,,,,,경기도 이천시청,031-644-2373,2026-03-02
(주)엠비에스티,1,경기도 이천시 설성면 대죽로 110,경기도 이천시 설성면 대죽리 554,37.13546369,127.4736801,2018-08-08,1781.88,1,,,,,,,경기도 이천시청,031-644-2373,2026-03-02
이천더블유모터스,3,경기도 이천시 대월면 경충대로 1566-14,경기도 이천시 대월면 장평리 31-10,37.22054577,127.5277105,2018-08-29,1254,1,,,,,,,경기도 이천시청,031-644-2373,2026-03-02
공임나라 알브이센터,1,경기도 이천시 부발읍 부발중앙로46번길 32,경기도 이천시 부발읍 무촌리 128-1,37.27899131,127.4861399,2020-04-13,0,1,,,,,,,경기도 이천시청,031-644-2373,2026-03-02
