자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
대도정비,1,경상남도 의령군 의령읍 의병로 107,경상남도 의령군 의령읍 서동리 781,35.32086066,128.2496293,1994-10-29,1058,1,,,,09:00,18:00,055-573-8275,경상남도 의령군청,055-570-3645,2026-04-13
금성1급종합정비,1,경상남도 의령군 부림면 의합대로 2102,경상남도 의령군 부림면 막곡리 319,35.460868,128.3300139,2015-10-23,1234,1,,,,09:00,17:00,055-574-9300,경상남도 의령군청,055-570-3645,2026-04-13
의령정비,2,경상남도 의령군 의령읍 의병로14길 28,경상남도 의령군 의령읍 서동리 504-1,35.31704457,128.2590762,2005-03-21,458,1,,,,09:00,18:00,055-573-7575,경상남도 의령군청,055-570-3645,2026-04-13
의령카센타,3,경상남도 의령군 의령읍 의병로8길 3,경상남도 의령군 의령읍 서동리 294-6,35.31883147,128.254971,1997-11-17,191,1,,,,09:00,18:00,055-572-0707,경상남도 의령군청,055-570-3645,2026-04-13
신반정비공업사,3,경상남도 의령군 부림면 신번로 92,경상남도 의령군 부림면 신반리 18-2,35.462547,128.328435,1997-11-17,450,1,,,,09:00,18:00,055-574-8666,경상남도 의령군청,055-570-3645,2026-04-13
애니카랜드 의령점,3,경상남도 의령군 의령읍 의병로 192,경상남도 의령군 의령읍 서동리 301-1,35.319007,128.257836,1998-03-13,323,1,,,,09:00,18:00,055-573-3087,경상남도 의령군청,055-570-3645,2026-04-13
터미널자동차부분정비,3,경상남도 의령군 의령읍 의병로 131-1,경상남도 의령군 의령읍 서동리 787,35.320425,128.251543,1998-11-12,962,1,,,,09:00,18:00,055-573-6464,경상남도 의령군청,055-570-3645,2026-04-13
르노코리아자동차 서비스코너 의령점,3,경상남도 의령군 의령읍 의병로 198,경상남도 의령군 의령읍 서동리 303-5,35.319257,128.258473,2001-09-22,418,1,,,,09:00,18:00,055-573-0565,경상남도 의령군청,055-570-3645,2026-04-13
지정부분정비,3,경상남도 의령군 지정면 함의로 1434,경상남도 의령군 지정면 봉곡리 489-2,35.377641,128.3946688,2001-11-26,173,1,,,,09:00,18:00,055-572-7500,경상남도 의령군청,055-570-3645,2026-04-13
대동카센터,3,경상남도 의령군 의령읍 의병로14길 28,경상남도 의령군 의령읍 서동리 504-1,35.31704457,128.2590762,2002-09-30,424,1,,,,09:00,18:00,055-572-1333,경상남도 의령군청,055-570-3645,2026-04-13
정암카인테리어,3,경상남도 의령군 의령읍 구룡로1길 72,경상남도 의령군 의령읍 동동리 50,35.31473493,128.2816326,2004-03-31,740,1,,,,09:00,18:00,055-573-1107,경상남도 의령군청,055-570-3645,2026-04-13
장수오토 자동차경정비,3,경상남도 의령군 부림면 대한로 1783,경상남도 의령군 부림면 신반리 505-5,35.467364,128.3268576,2004-06-04,353,1,,,,09:00,18:00,055-574-6678,경상남도 의령군청,055-570-3645,2026-04-13
(의령점)현대자동차,3,경상남도 의령군 의령읍 백산로 32,경상남도 의령군 의령읍 동동리 944-4,35.321771,128.2666977,2004-12-07,678,1,,,,09:00,18:00,055-572-9585,경상남도 의령군청,055-570-3645,2026-04-13
경남자동차정비,3,경상남도 의령군 의령읍 의병로6길 3-2,경상남도 의령군 의령읍 서동리 280-5,35.319815,128.253284,2004-12-14,209,1,,,,09:00,18:00,055-572-9200,경상남도 의령군청,055-570-3645,2026-04-13
동양카센타,3,경상남도 의령군 의령읍 의병로9길 14,경상남도 의령군 의령읍 서동리 286-26,35.320238,128.255782,2005-06-17,215,1,,,,09:00,18:00,055-573-5957,경상남도 의령군청,055-570-3645,2026-04-13
중앙카서비스,3,경상남도 의령군 의령읍 의병로 257,경상남도 의령군 의령읍 동동리 1023-12,35.32033194,128.264943,2006-06-28,467,1,,,,09:00,18:00,055-573-9100,경상남도 의령군청,055-570-3645,2026-04-13
아는형님카정비세차,3,경상남도 의령군 의령읍 의병로 167-7,경상남도 의령군 의령읍 서동리 291-5,35.319751,128.254746,2006-09-29,202,1,,,,09:00,18:00,055-572-1300,경상남도 의령군청,055-570-3645,2026-04-13
현대카24시,3,경상남도 의령군 부림면 신번로 215,경상남도 의령군 부림면 감암리 1038-10,35.47190429,128.3268766,2012-12-14,551,1,,,,09:00,18:00,055-574-2502,경상남도 의령군청,055-570-3645,2026-04-13
예스자동차정비,2,경상남도 의령군 대의면 대의로 110,경상남도 의령군 대의면 마쌍리 523,35.37661661,128.1076587,2019-01-10,1117,1,,,,09:00,18:00,055-572-7758,경상남도 의령군청,055-570-3645,2026-04-13
