자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
탑리종합정비공장,1,경상북도 의성군 금성면 동부로 2459,경상북도 의성군 금성면 대리리 212,36.26611962,128.678145,2007-03-20,643,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
안계자동차정비공장,1,경상북도 의성군 안계면 안신로 19,경상북도 의성군 안계면 용기리 961-4,36.39065351,128.4356302,2006-03-29,437,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
강동종합정비,1,경상북도 의성군 의성읍 의성길안로 29,경상북도 의성군 의성읍 중리리 583,36.36095623,128.7030765,2002-11-01,606,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
경북종합특장,1,경상북도 의성군 의성읍 북부길 203,경상북도 의성군 의성읍 업리 995,36.3711195322,128.6822562231,1997-07-15,921,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
의성자동차정비공장,1,경상북도 의성군 의성읍 홍술로 81,경상북도 의성군 의성읍 원당리 12-3,36.355978,128.6882208,1982-01-01,581,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
의성현대정비공장,2,경상북도 의성군 의성읍 홍술로 105-7,경상북도 의성군 의성읍 원당리 2-4,36.35612793,128.690331,2004-01-30,93,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
제일종합모터스,2,경상북도 의성군 의성읍 홍술로 89-13,경상북도 의성군 의성읍 원당리 17-8,36.35580183,128.6866591,2020-04-03,478,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
달곰 타이어,3,경상북도 의성군 안계면 서부로 1657,경상북도 의성군 안계면 용기리 487-104,36.38477842,128.4430676,2015-06-19,151,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
의성마늘카센타,3,경상북도 의성군 의성읍 북부길 129,경상북도 의성군 의성읍 철파리 217-7,36.36533306,128.6856712,2013-01-16,287,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
금호타이어 의성대리점,3,경상북도 의성군 의성읍 북부길 39,경상북도 의성군 의성읍 후죽리 363-4,36.359311856,128.6919899117,2012-11-07,236,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
기원차마당,3,경상북도 의성군 의성읍 홍술로 45,경상북도 의성군 의성읍 원당리 49-1,36.35390623,128.6844326,2012-09-14,207,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
부성부분정비,3,경상북도 의성군 단촌면 신기길 32,경상북도 의성군 단촌면 세촌리 811-3,36.42428923,128.6711849,2011-07-25,115,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
애니카랜드의성점,3,경상북도 의성군 의성읍 북원2길 33-4,경상북도 의성군 의성읍 후죽리 425-2,36.3596184509,128.6966992178,2011-06-09,339,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
쌍용자동차의성서비스프라자,3,경상북도 의성군 의성읍 경북대로 5740,경상북도 의성군 의성읍 원당리 243-2,36.3538837009,128.6818426366,2011-02-07,50,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
진성카센터,3,경상북도 의성군 의성읍 치선오상길 13,경상북도 의성군 의성읍 도동리 594-1,36.3403185844,128.701439819,2010-11-29,161,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
에이스부분정비,3,경상북도 의성군 의성읍 북부길 40,경상북도 의성군 의성읍 후죽리 368-7,36.35948348,128.6923228,2010-11-26,121,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
비안카센터,3,경상북도 의성군 비안면 강변길 43,경상북도 의성군 비안면 이두리 326-3,36.3376766049,128.488603848,2010-06-19,117,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
월드카부분정비,3,경상북도 의성군 의성읍 북부길 13,경상북도 의성군 의성읍 후죽리 858-33,36.35732638,128.6934263,2010-02-18,398,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
대륙카서비스,3,경상북도 의성군 다인면 가원농공길 5,경상북도 의성군 다인면 가원리 89-3,36.43792778,128.3714661,2010-02-05,100,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
의성우수카,3,경상북도 의성군 의성읍 문소3길 72,경상북도 의성군 의성읍 후죽리 521-10,36.35225596,128.6949676,2009-07-21,388,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
금성카센타,3,경상북도 의성군 의성읍 동서1길 1,경상북도 의성군 의성읍 후죽리 655,36.34954558,128.6943312,2009-07-07,48,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
의성점 현대자동차,3,경상북도 의성군 의성읍 구봉길 242,경상북도 의성군 의성읍 도서리 92-10,36.34683526,128.6961032,2008-09-25,230,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
금성카센타,3,경상북도 의성군 금성면 동부로 2501-3,경상북도 의성군 금성면 대리리 220-8,36.26951781,128.6776919,2008-07-24,56,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
안계점기아오토큐,3,경상북도 의성군 안계면 서부로 1786,경상북도 의성군 안계면 용기리 980-10,36.3921921242,128.4320276936,2008-01-16,60,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
제일카센터,3,경상북도 의성군 금성면 금성현서로 45,경상북도 의성군 금성면 탑리리 1374-1,36.25141386,128.687270,2007-08-01,291,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
단밀부분정비,3,경상북도 의성군 단밀면 중동단밀로 966,경상북도 의성군 단밀면 속암리 168-3,36.37559877,128.3833337,2007-04-11,417,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
기아오토큐의성점,3,경상북도 의성군 의성읍 경북대로 5804,경상북도 의성군 의성읍 철파리 404-21,36.35889613,128.6857422,2006-07-20,103,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
한국카부분정비,3,경상북도 의성군 의성읍 홍술로 39,경상북도 의성군 의성읍 원당리 41-1,36.3538153224,128.6837287495,2006-06-30,261,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
붕붕카센터,3,경상북도 의성군 안계면 서부로 1772,경상북도 의성군 안계면 용기리 928-18,36.39140698,128.4332241,2006-05-01,55,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
만도부분정비,3,경상북도 의성군 의성읍 동서1길 83,경상북도 의성군 의성읍 상리리 707-1,36.350149461,128.7034178341,2006-01-18,98,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
한국부분정비,3,경상북도 의성군 금성면 동부로 2288,경상북도 의성군 금성면 산운리 663-4,36.25117747,128.6831676,2005-06-25,330,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
비봉자동차정비,3,경상북도 의성군 안계면 서부로 1764,경상북도 의성군 안계면 용기리 928-6,36.39111484,128.4340054,2005-05-20,484,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
형제부분정비,3,경상북도 의성군 안계면 안계길 101,경상북도 의성군 안계면 용기리 500-18,36.38243432,128.4408518,2005-03-04,322,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
금호카센터,3,경상북도 의성군 안계면 서부로 1756,경상북도 의성군 안계면 용기리 924-12,36.39053099,128.4347278,2004-09-21,99,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
국우카안계점,3,경상북도 의성군 봉양면 봉기길 36,경상북도 의성군 봉양면 도원리 774,36.29508193,128.5760344,2003-03-21,187,1,,,,09:00,18:00,,경상북도 의성군청,054-830-6251,2026-06-18
