자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
중앙공업사,01,광주광역시 남구 송암로 72,광주광역시 남구 송하동 252,35.111566,126.876666,1980-10-20,1009,1,,,,,,062-674-1212,광주광역시 남구청,062-607-4214,2026-03-31
(주)선일자동차공업사,01,광주광역시 남구 송암로24번나길 9,광주광역시 남구 송하동 257-7,35.109732,126.880938,1982-03-02,1153,1,,,,,,062-674-0001,광주광역시 남구청,062-607-4214,2026-03-31
대양공업사,01,광주광역시 남구 송암로 52,광주광역시 남구 송하동 258-2,35.109908,126.878138,1982-04-01,3304,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
(주)광주자동차공업사,01,광주광역시 남구 송암로24번가길 14,광주광역시 남구 송하동 257-5,35.109589,126.879880,1983-04-28,1397,1,,,,,,062-676-8400,광주광역시 남구청,062-607-4214,2026-03-31
(주)서일자동차공업사,01,광주광역시 남구 송암로24번나길 32-6,광주광역시 남구 송하동 254-11,35.111898,126.880767,1983-05-26,1033,1,,,,,,062-674-0821,광주광역시 남구청,062-607-4214,2026-03-31
삼양공업사,01,광주광역시 남구 송암로24번가길 10,광주광역시 남구 송하동 257-8,35.109559,126.880174,1983-07-02,3222,1,,,,,,062-526-7700,광주광역시 남구청,062-607-4214,2026-03-31
(유)신진공업사,01,광주광역시 남구 송암로24번가길 8,광주광역시 남구 송하동 260-3,35.108635,126.880279,1984-01-17,3176,1,,,,,,062-674-0101,광주광역시 남구청,062-607-4214,2026-03-31
현대자동차㈜광주하이테크센,01,광주광역시 남구 송암로76번길 31,광주광역시 남구 송하동 251-2,35.113457,126.878261,1984-02-24,13309,1,,,,,,062-673-2111,광주광역시 남구청,062-607-4214,2026-03-31
주)금화모터스,01,광주광역시 남구 송암로24번나길 35,광주광역시 남구 송하동 255-2,35.111580,126.879082,1985-06-21,6864,1,,,,,,062-672-2744,광주광역시 남구청,062-607-4214,2026-03-31
남광주서비스 기아오토큐(주),01,광주광역시 남구 송암로24번나길 7,광주광역시 남구 송하동 260-1,35.109256,126.881425,1985-09-20,3431,1,,,,,,062-672-6655,광주광역시 남구청,062-607-4214,2026-03-31
동신자동차공업사,01,광주광역시 남구 송암로 110,광주광역시 남구 송하동 358-4,35.113972,126.873545,1989-12-21,2033,1,,,,,,062-674-2700,광주광역시 남구청,062-607-4214,2026-03-31
한국지엠㈜ 광주서비스센터,01,광주광역시 남구 송암로24번길 62,광주광역시 남구 송하동 218-29,35.110421,126.885585,1990-12-17,15016,1,,,,,,062-670-8000,광주광역시 남구청,062-607-4214,2026-03-31
주)이천정비,01,광주광역시 남구 송암로24번나길 50-15,광주광역시 남구 송하동 270-2,35.113880,126.879615,1991-12-12,1271,1,,,,,,062-676-2000,광주광역시 남구청,062-607-4214,2026-03-31
남부자동차공업사,01,광주광역시 남구 송암로24번가길 38-2,광주광역시 남구 송하동 255-1,35.111597,126.878598,1993-05-27,5023,1,,,,,,062-674-3301,광주광역시 남구청,062-607-4214,2026-03-31
봉선자동차공업사,01,광주광역시 남구 송암로24번길 15,광주광역시 남구 송하동 260-2,35.109297,126.880682,1993-10-20,4957,1,,,,,,062-653-0071,광주광역시 남구청,062-607-4214,2026-03-31
대원자동차공업사,01,광주광역시 남구 송암로58번길 47,광주광역시 남구 송하동 250-7,35.112137,126.881993,1994-10-08,2001,1,,,,,,062-676-8844,광주광역시 남구청,062-607-4214,2026-03-31
주)일광1급자동차공업사,01,광주광역시 남구 송암로24번길 20,광주광역시 남구 송하동 166-8,35.108473,126.881668,1996-02-02,1693,1,,,,,,062-430-5568,광주광역시 남구청,062-607-4214,2026-03-31
주)예원하이테크,01,광주광역시 남구 송암로24번나길 14-7,광주광역시 남구 송하동 256-7,35.110959,126.881939,1998-05-20,942,1,,,,,,062-676-7722,광주광역시 남구청,062-607-4214,2026-03-31
동성자동차주식회사,01,광주광역시 남구 송암로24번나길 13,광주광역시 남구 송하동 257-6,35.109975,126.880643,1998-10-29,3237,1,,,,,,062-674-2366,광주광역시 남구청,062-607-4214,2026-03-31
㈜대우트럭동양광주2공장,01,광주광역시 남구 송암로58번길 24,광주광역시 남구 송하동 257-1,35.110413,126.879575,1999-11-29,3205,1,,,,,,062-672-1504,광주광역시 남구청,062-607-4214,2026-03-31
삼성자동차공업사,01,광주광역시 남구 송암로24번나길 14-19,광주광역시 남구 송하동 218-47,35.111287,126.882979,2002-11-29,909,1,,,,,,062-674-2281,광주광역시 남구청,062-607-4214,2026-03-31
(주)동양자동차정비공업사,01,광주광역시 남구 송암로 102,광주광역시 남구 송하동 362,35.113524,126.873829,2004-04-27,2238,1,,,,,,062-674-3999,광주광역시 남구청,062-607-4214,2026-03-31
주식회사 크레인모터풀,01,광주광역시 남구 송암로24번나길 50-12,광주광역시 남구 송하동 254-6,35.113115,126.879446,2004-08-27,4310,1,,,,,,062-674-2832,광주광역시 남구청,062-607-4214,2026-03-31
주)황금특장모터스,01,광주광역시 남구 송암로24번나길 16,광주광역시 남구 송하동 256-6,35.110522,126.881596,2005-03-11,2532,1,,,,,,062-674-2645,광주광역시 남구청,062-607-4214,2026-03-31
대광자동차공업사,01,광주광역시 남구 송암로24번나길 21,광주광역시 남구 송하동 257-2,35.110508,126.880060,2007-01-10,2912,1,,,,,,062-676-0783,광주광역시 남구청,062-607-4214,2026-03-31
주)오룡정비,01,광주광역시 남구 송암로24번나길 14-26,광주광역시 남구 송하동 261-12,35.110858,126.882920,2010-05-24,1819,1,,,,,,070-7736-6033,광주광역시 남구청,062-607-4214,2026-03-31
유)우성,01,광주광역시 남구 송암로24번나길 44,광주광역시 남구 송하동 254-4,35.112633,126.879332,2010-05-24,1920,1,,,,,,062-676-6880,광주광역시 남구청,062-607-4214,2026-03-31
주)동산자동차서비스,01,광주광역시 남구 송암로24번나길 14-18,광주광역시 남구 송하동 261-5,35.110497,126.882598,2010-07-05,1565,1,,,,,,062-653-0574,광주광역시 남구청,062-607-4214,2026-03-31
유한회사 씨앤디모터스 광주지점,01,광주광역시 남구 송암로24번나길 54,광주광역시 남구 송하동 254-1,35.113148,126.878686,2011-07-28,5018,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
커민스광주,01,광주광역시 남구 송암로24번나길 14-32,광주광역시 남구 송하동 261-1,35.111048,126.883448,2011-08-09,801,1,,,,,,062-674-0453,광주광역시 남구청,062-607-4214,2026-03-31
뉴남하자동차공업사(주),01,광주광역시 남구 송암로76번길 34,광주광역시 남구 송하동 254-18,35.113621,126.879122,2011-08-24,1023,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
코오롱모터스(주)광주센터,01,광주광역시 남구 송암로24번길 55,광주광역시 남구 송하동 261-9,35.110810,126.883883,2013-01-25,1950,1,,,,,,062-650-7301,광주광역시 남구청,062-607-4214,2026-03-31
금호오토마스터 주식회사,01,광주광역시 남구 송암로 78,광주광역시 남구 송하동 251-5,35.112826,126.875478,2013-12-12,24312,1,,,,,,062-674-0675,광주광역시 남구청,062-607-4214,2026-03-31
(주)조은산업,01,광주광역시 남구 송암로24번나길 50-16,광주광역시 남구 송하동 270-8,35.113479,126.880379,2014-05-26,2200,1,,,,,,062-676-8181,광주광역시 남구청,062-607-4214,2026-03-31
(주)우일1급자동차써비스,01,광주광역시 남구 송암로130번길 4,광주광역시 남구 송하동 348-6,35.114825,126.872117,2015-08-11,2272,1,,,,,,062-675-4975,광주광역시 남구청,062-607-4214,2026-03-31
동일특장,01,광주광역시 남구 송암로24번나길 32-11,광주광역시 남구 송하동 254-7,35.112363,126.880444,2016-06-20,1940,1,,,,,,062-676-1686,광주광역시 남구청,062-607-4214,2026-03-31
유한회사 호남자동차공업사,01,광주광역시 남구 송암로24번길 26,광주광역시 남구 송하동 152-7,35.108265,126.882626,2016-11-17,12017,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
다온모터스,01,광주광역시 남구 송암로24번나길 50-14,광주광역시 남구 송하동 254-15,35.112737,126.880469,2018-07-02,3305,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
세영운수 유한회사,01,광주광역시 남구 송암로98번길 11,광주광역시 남구 송하동 356,35.114410,126.874745,2018-11-07,1814,1,,,,,,062-674-0106,광주광역시 남구청,062-607-4214,2026-03-31
스카니아광주센터유한회사동양,01,광주광역시 남구 송암로58번길 45,광주광역시 남구 송하동 254-19,35.111857,126.881273,2019-05-10,3218,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
테슬라코리아유한회사,01,광주광역시 남구 서문대로517번길 13,광주광역시 남구 송하동 77-1,35.110004,126.888217,2020-01-16,1856,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
케이지모빌리티광주서비스센터(주),01,광주광역시 남구 서문대로499번길 26,광주광역시 남구 송하동 218-39,35.110141,126.886461,2021-02-10,10346,1,,,,,,062-670-5582,광주광역시 남구청,062-607-4214,2026-03-31
광일모터스,01,광주광역시 남구 송암로42번길 3,광주광역시 남구 송하동 258-15,35.109782,126.878351,2021-03-03,1275,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
(합)을로운수,01,광주광역시 남구 송암로24번나길 12,광주광역시 남구 송하동 261-7,35.109895,126.882558,2021-04-30,9918,1,,,,,,062-674-1457,광주광역시 남구청,062-607-4214,2026-03-31
유한회사 대신공업사,01,광주광역시 남구 송암로58번길 42,광주광역시 남구 송하동 256-3,35.111422,126.881499,2022-02-21,1942,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
선일모터스(주),01,광주광역시 남구 송암로24번나길 25,광주광역시 남구 송하동 255-3,35.111206,126.879878,2022-04-04,3431,1,,,,,,062-366-2626,광주광역시 남구청,062-607-4214,2026-03-31
주식회사 지오하우스,01,광주광역시 남구 송암로 32,광주광역시 남구 송하동 258-13,35.108793,126.879149,2022-05-31,4307,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
르노코리아 남광주 정비사업소(주),01,광주광역시 남구 송암로24번나길 32-1,광주광역시 남구 송하동 254-9,35.111951,126.879878,2022-09-01,1489,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
미래모터스,01,광주광역시 남구 송암로24번나길 32-3,광주광역시 남구 송하동 254-8,35.112085,126.880279,2022-11-08,1025,1,,,,,,062-671-3729,광주광역시 남구청,062-607-4214,2026-03-31
삼양자동차서비스주식회사,01,광주광역시 남구 송암로24번나길 12,광주광역시 남구 송하동 261-7,35.109895,126.882558,2025-08-12,4465,1,,,,,,062-6747-1531,광주광역시 남구청,062-607-4214,2026-03-31
신세계공업사,02,광주광역시 남구 송암로24번가길 39,광주광역시 남구 송하동 371-1,35.111367,126.877685,2001-06-22,405,1,,,,,,000-0000-0000,광주광역시 남구청,062-607-4214,2026-03-31
쌍용자동차하나로,02,광주광역시 남구 서문대로 721,광주광역시 남구 진월동 303-1,35.123606,126.897744,2002-10-25,1239,1,,,,,,062-675-8086,광주광역시 남구청,062-607-4214,2026-03-31
(유)블루자동차공업사,02,광주광역시 남구 서문대로473번길 8-10,광주광역시 남구 송하동 90-2,35.108990,126.885973,2006-03-13,1454,1,,,,,,062-675-9883,광주광역시 남구청,062-607-4214,2026-03-31
송암자동차정비공업사,02,광주광역시 남구 송암로 51,광주광역시 남구 송하동 425-69,35.109585,126.877042,2010-12-22,634,1,,,,,,062-675-6654,광주광역시 남구청,062-607-4214,2026-03-31
고진모터스(주),02,광주광역시 남구 송암로24번가길 18,광주광역시 남구 송하동 257-4,35.110114,126.879900,2014-07-18,1923,1,,,,,,062-524-5959,광주광역시 남구청,062-607-4214,2026-03-31
