자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
천일카서비스,01,,대구광역시 군위군 삼국유사면 화수리 307-2,36.11499463,128.7535589,1998-07-07,588,03,2016-07-12,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
동부카서비스,01,,대구광역시 군위군 군위읍 금구리 652-2,36.214719,128.564577,1998-09-09,765,03,2011-11-28,,,,,054-383-9999,대구광역시 군위군청,054-380-6255,2026-02-20
부국부분정비,01,,대구광역시 군위군 우보면 이화리 1282-5,36.19487998,128.663796,1999-08-31,103,03,2015-06-29,,,,,054-382-6458,대구광역시 군위군청,054-380-6255,2026-02-20
군위점현대자동차,01,,대구광역시 군위군 군위읍 서부리 217,36.232276,128.5660397,2000-08-29,602,03,2011-07-15,,,,,054-383-3434,대구광역시 군위군청,054-380-6255,2026-02-20
그린카서비스,01,,대구광역시 군위군 군위읍 동부리 674-8,36.229147,128.5686497,2001-04-24,230,03,2001-04-26,,,,,054-383-6554,대구광역시 군위군청,054-380-6255,2026-02-20
만리카서비스,01,,대구광역시 군위군 소보면 송원리 664-6,36.254612,128.475637,2001-05-03,146,03,2001-05-05,,,,,054-383-4434,대구광역시 군위군청,054-380-6255,2026-02-20
명성카닥터,01,,대구광역시 군위군 의흥면 읍내리 670,36.172588,128.716805,2002-03-30,120,03,2019-04-16,,,,,054-382-5958,대구광역시 군위군청,054-380-6255,2026-02-20
소보오토카,01,,대구광역시 군위군 소보면 송원리 703-3,36.255477,128.478655,2002-09-02,116,03,2002-09-02,,,,,054-382-4648,대구광역시 군위군청,054-380-6255,2026-02-20
호수부분정비,01,,대구광역시 군위군 부계면 창평리 440,36.09206146,128.6813593,2003-06-10,183,03,2011-06-14,,,,,054-383-8610,대구광역시 군위군청,054-380-6255,2026-02-20
대한부분정비업,01,,대구광역시 군위군 군위읍 서부리 7-4,36.240768,128.568236,2003-07-18,198,03,2003-07-18,,,,,054-383-4567,대구광역시 군위군청,054-380-6255,2026-02-20
오토카24시서비스,01,,대구광역시 군위군 군위읍 서부리 543,36.243506,128.5648999779,2006-01-13,96,03,2011-09-02,,,,,054-382-7660,대구광역시 군위군청,054-380-6255,2026-02-20
(주)광일상운,01,대구광역시 군위군 군위읍 경북대로 3363,,36.204606,128.563425,2007-02-13,1792,03,2014-07-25,,,,,054-383-5400,대구광역시 군위군청,054-380-6255,2026-02-20
월드카부분정비,01,,대구광역시 군위군 우보면 이화리 1290-1,36.19512029,128.6649697,2007-10-25,208,03,2007-09-05,,,,,054-383-8555,대구광역시 군위군청,054-380-6255,2026-02-20
하나로부분정비,01,,대구광역시 군위군 효령면 고곡리 438,36.118982,128.571299,2009-12-02,185.5,03,2009-12-03,,,,,054-380-5659,대구광역시 군위군청,054-380-6255,2026-02-20
하나로자동차정비센터,01,,대구광역시 군위군 효령면 고곡리 438,36.118982,128.571299,2009-12-16,120.42,03,2012-08-02,,,,,054-383-5859,대구광역시 군위군청,054-380-6255,2026-02-20
군위1급정비공장,01,,대구광역시 군위군 군위읍 정리 186,36.241869,128.568198,1999-06-22,1527,02,,2023-03-30,,,,054-382-8609,대구광역시 군위군청,054-380-6255,2026-02-20
군위한국정비공업사,01,,대구광역시 군위군 군위읍 금구리 866-1,36.204606,128.563425,2003-01-24,1322,02,,2003-01-23,,,,054-383-5400,대구광역시 군위군청,054-380-6255,2026-02-20
경북카닥터,01,,대구광역시 군위군 군위읍 금구리 877,36.203257,128.563322,1997-10-31,150,01,,,,,,054-383-8484,대구광역시 군위군청,054-380-6255,2026-02-20
뉴카닥터 1급 정비공업사,01,,대구광역시 군위군 군위읍 무성리 6,36.187565,128.572451,1997-11-14,1620,01,,,,,,054-383-8338,대구광역시 군위군청,054-380-6255,2026-02-20
현대카서비스,01,,대구광역시 군위군 군위읍 금구리 868,36.20456995,128.563569,1997-12-26,1634,01,,,,,,054-383-9079,대구광역시 군위군청,054-380-6255,2026-02-20
고속타이어부분정비,01,,대구광역시 군위군 군위읍 무성리 20,36.185719,128.575201,1998-10-01,1483,01,,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
진성종합카센타,01,,대구광역시 군위군 효령면 중구리 112,36.152792,128.587201,1998-10-21,120,01,,,,,,054-383-8042,대구광역시 군위군청,054-380-6255,2026-02-20
의성타이어,01,,대구광역시 군위군 군위읍 동부리 321,36.239898,128.568327,1998-10-29,188,01,,,,,,054-383-2229,대구광역시 군위군청,054-380-6255,2026-02-20
효령밧데리,01,대구광역시 군위군 효령면 경북대로 2222-1,,36.120842,128.576163,1998-11-24,378,01,,,,,,054-382-3125,대구광역시 군위군청,054-380-6255,2026-02-20
명성카닥터,01,대구광역시 군위군 군위읍 동산새길 13,,36.232272,128.564952,2001-03-21,477,01,,,,,,054-383-8959,대구광역시 군위군청,054-380-6255,2026-02-20
휠링카센타,01,대구광역시 군위군 부계면 치산효령로 1328,,36.097943,128.666643,2001-07-05,724,01,,,,,,054-383-7065,대구광역시 군위군청,054-380-6255,2026-02-20
소보카부분정비,01,대구광역시 군위군 소보면 송원3길 35-19,,36.256921,128.478760,2002-04-25,440.5,01,,,,,,054-383-8258,대구광역시 군위군청,054-380-6255,2026-02-20
온누리카클리닉,01,,대구광역시 군위군 군위읍 동부리 318,36.241912,128.568030,2004-04-12,400,01,,,,,,054-383-8583,대구광역시 군위군청,054-380-6255,2026-02-20
대구1급정비공장,01,대구광역시 군위군 효령면 경북대로 2922,,36.17202025,128.580794,2006-11-30,1157,01,,,,,,054-383-6622,대구광역시 군위군청,054-380-6255,2026-02-20
의흥카센타,01,,대구광역시 군위군 의흥면 읍내리 240,36.173421,128.718777,2007-04-19,258,01,,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
케이지모빌리티 군위 서비스 프라자,01,,대구광역시 군위군 군위읍 정리 250,36.24528982,128.569672,2008-04-22,331,01,,,,,,054-383-5585,대구광역시 군위군청,054-380-6255,2026-02-20
군위카서비스,01,,대구광역시 군위군 군위읍 정리 1121,36.243964,128.563861,2008-06-30,830,01,,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
효령종합부분정비,01,대구광역시 군위군 효령면 나곡길 10-57,,36.133302,128.577883,2009-02-26,556,01,,,,,,054-382-8696,대구광역시 군위군청,054-380-6255,2026-02-20
갑령자동차부분정비,01,대구광역시 군위군 부계면 창평1길 58,,36.097401,128.669723,2009-06-24,573,01,,,,,,054-383-8652,대구광역시 군위군청,054-380-6255,2026-02-20
연서부분정비,01,대구광역시 군위군 우보면 동부로 1616,,36.193784,128.667584,2010-03-18,165,01,,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
동부정비공장,01,대구광역시 군위군 군위읍 경북대로 3473,,36.214719,128.564577,2010-08-02,765,01,,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
군위1급종합정비공장,01,대구광역시 군위군 군위읍 경북대로 3605,,36.225633,128.565674,2010-09-15,4554,01,,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
효령1급종합정비공장,01,대구광역시 군위군 효령면 나곡길 10-61,,36.133677,128.577753,2010-10-20,1173,01,,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
타이어하우스,01,대구광역시 군위군 군위읍 동산새길 24,,36.232276,128.5660397,2011-08-08,602,01,,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
오토카 24시,01,대구광역시 군위군 군위읍 경북대로 3399,,36.208094,128.563869,2011-09-01,660,01,,,,,,054-382-7760,대구광역시 군위군청,054-380-6255,2026-02-20
경상북도 119종합정비센터,01,대구광역시 군위군 효령면 중리길 7-32,,36.154015,128.582989,2011-11-21,4626,01,,,,,,053-930-2501,대구광역시 군위군청,054-380-6255,2026-02-20
한국타이어 인성점,01,,대구광역시 군위군 효령면 고곡리 1303,36.106154,128.567896,2011-12-20,696,01,,,,,,054-382-0738,대구광역시 군위군청,054-380-6255,2026-02-20
백산카농기구센타,01,대구광역시 군위군 산성면 갑티로 2,,36.095069,128.715491,2020-07-24,998,01,,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
(주 )유로카라반,01,대구광역시 군위군 효령면 용매로 1011-23,,36.09953038,128.5789945,2022-10-05,2941,01,,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
세명 수출 자동차 상사,02,,대구광역시 군위군 군위읍 무성리 42,36.184500,128.576900,2019-08-19,660,03,2022-07-08,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
군위모터스,02,대구광역시 군위군 군위읍 경북대로 3974,,36.25709447,128.5712804,2020-05-19,1953,03,2021-02-22,,,,,,대구광역시 군위군청,054-380-6255,2026-02-20
