자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
(합)유승기업,1,대전광역시 서구 계룡로 510,대전광역시 서구 탄방동 518-2,36.3434103,127.3802265,1960-12-01,1465,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
대원자동차공업사,1,대전광역시 서구 변동로 44,대전광역시 서구 변동 51-1,36.32483973,127.3779862,1968-06-03,3972,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
빛나는자동차공업사(주),1,대전광역시 서구 계룡로636번길 37,대전광역시 서구 용문동 593-17,36.33755773,127.391111,1996-04-04,1099,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
(주)엠원1급정비검사소,1,대전광역시 서구 월드컵대로484번길 82-20,대전광역시 서구 월평동 113-6,36.34694924,127.3529539,1997-03-24,2080,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
(주)신21세기자동차정비,1,대전광역시 서구 대덕대로 67,대전광역시 서구 괴정동 358-6,36.33966547,127.3732198,1999-12-09,1858,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
만년종합정비(주),1,대전광역시 서구 월드컵대로484번길 148-16,대전광역시 서구 월평동 92-8,36.3438686,127.3535496,2003-11-27,1049,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
정림모터스,1,대전광역시 서구 구봉로 474,대전광역시 서구 정림동 35-23,36.3028586,127.3706734,2004-02-03,870,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
21세기 모터스검사장,1,대전광역시 서구 대덕대로 69-11,대전광역시 서구 괴정동 413-26,36.3402451,127.3729026,2006-09-21,1226,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
(주)월평정비검사장,1,대전광역시 서구 월드컵대로484번길 148-4,대전광역시 서구 월평동 90-1,36.34407464,127.3539738,2006-10-25,2479,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
(주)청모터스,1,대전광역시 서구 복수북로 1,대전광역시 서구 정림동 8-8,36.3076232,127.3707413,2007-04-16,1776,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
(주)월드마스터,1,대전광역시 서구 혜천로 22,대전광역시 서구 정림동 8-61,36.3071452,127.368851,2007-06-29,4412,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
(주)한스오토스,1,대전광역시 서구 혜천로 36,대전광역시 서구 정림동 8-29,36.305891,127.3699585,2008-06-10,1917,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
1급뉴계룡모터스,1,대전광역시 서구 월드컵대로484번길 82-14,대전광역시 서구 월평동 113-4,36.3472585,127.3533507,2009-02-09,1007,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
21세기 안전검사소,1,대전광역시 서구 월드컵대로484번길 59,대전광역시 서구 월평동 116,36.3472241,127.3540011,2010-07-19,1045,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
(주)서대전현대서비스,1,대전광역시 서구 가수원로 103-13,대전광역시 서구 가수원동 655-23,36.3030785,127.3486221,2013-10-11,2042.7,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
태전자동차공업사,1,대전광역시 서구 계룡로232번길 157,대전광역시 서구 월평동 127,36.3445552,127.354809,2015-11-11,1293,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
다해자동차공업사,1,대전광역시 서구 계룡로232번길 157,대전광역시 서구 월평동 127,36.34458394,127.3548753,2017-09-25,1091,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
모든모터스,1,대전광역시 서구 도산로 171,대전광역시 서구 변동 60-6,36.32381598,127.3781326,2019-04-01,2042.7,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
유성자동차검사소,1,대전광역시 서구 계룡로232번길 123,대전광역시 서구 월평동 135-8,36.34621147,127.355019,2020-11-19,2142,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
서대전서비스 기아오토큐(주),1,대전광역시 서구 도안동로12번길 26,대전광역시 서구 도안동 2065,36.30634955,127.3542494,2023-01-20,7028.94,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
에스더블유기업(주),2,대전광역시 서구 계룡로232번길 155,대전광역시 서구 월평동 126-1,36.34478737,127.3549491,2010-10-25,1096,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
중부모터스(주),2,대전광역시 서구 벌곡로 1358,대전광역시 서구 가수원동 474,36.30248374,127.3554331,2016-03-03,6007,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
도안자동차공업사,2,대전광역시 서구 월드컵대로484번안길 34,대전광역시 서구 월평동 123-4,36.3455943,127.355375,2018-01-11,555,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
허머모터스,3,대전광역시 서구 도산로 468,대전광역시 서구 용문동 208-4,36.34331025,127.4003282,1997-09-02,502,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
복음자동차정비공업사,3,대전광역시 서구 도마로 91,대전광역시 서구 변동 64-35,36.3220045,127.3801598,1997-09-10,329,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
명일종합카,3,대전광역시 서구 신갈마로 240,대전광역시 서구 갈마동 262-1,36.3549164,127.3695462,1997-10-20,289,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
그린카센타,3,대전광역시 서구 동서대로 951,대전광역시 서구 내동 152-12,36.33471415,127.3682197,1997-12-03,331,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
타이어프로 변동점,3,대전광역시 서구 변동중로 84,대전광역시 서구 변동 15-13,36.3300341,127.378274,1997-12-03,108.57,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
스피드라인,3,대전광역시 서구 갈마로 92,대전광역시 서구 갈마동 393-9,36.3442003,127.3692999,1997-12-13,330,1,,,,,,,대전광역시 서구,042-288-4033,2026-06-16
