자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
붕붕카모터스,3,부산광역시 동래구 금강로74번길 2(온천동),부산광역시 동래구 온천동 442-1,35.2155637,129.0777914,1997-03-17,234.41,1,,,,,,051-000-0000,부산광역시 동래구청,051-550-4541,2026-02-12
온천점 현대자동차,3,부산광역시 동래구 중앙대로1307번길 6(온천동),부산광역시 동래구 온천동 1440-13,35.20393811,129.0775388,1997-07-23,164,1,,,,,,051-554-6700,부산광역시 동래구청,051-550-4541,2026-02-12
서원자동차정비공업사,3,부산광역시 동래구 충렬대로457번길 58(안락동),부산광역시 동래구 안락동 464-10,35.19808071,129.1092629,1998-01-26,107.04,1,,,,,,051-711-3422,부산광역시 동래구청,051-550-4541,2026-02-12
르노코리아㈜  동래사업소,1,부산광역시 동래구 명륜로 51(수안동),부산광역시 동래구 수안동 9-18,35.19895864,129.0840178,1998-02-18,177.84,1,,,,,,051-502-5688,부산광역시 동래구청,051-550-4541,2026-02-12
백프로모터스(BAEK pro MOTORS),3,부산광역시 동래구 수안로 9(수안동),부산광역시 동래구 수안동 34-38,35.19499039,129.0872702,1998-03-11,115,1,,,,,,051-522-8477,부산광역시 동래구청,051-550-4541,2026-02-12
제일모터스,3,부산광역시 동래구 여고로 59(사직동),부산광역시 동래구 사직동 129-6,35.19636781,129.0703073,1998-03-31,88,1,,,,,,051-000-0000,부산광역시 동래구청,051-550-4541,2026-02-12
건화카센타,3,부산광역시 동래구 안남로 113(안락동),부산광역시 동래구 안락동 245-73,35.19275345,129.104348,1998-03-31,99,1,,,,,,051-513-9175,부산광역시 동래구청,051-550-4541,2026-02-12
네비 하고 가게,3,부산광역시 동래구 온천천로 451(안락동),부산광역시 동래구 안락동 631-8,35.19159913,129.1024327,1998-04-11,168,1,,,,,,051-521-2212,부산광역시 동래구청,051-550-4541,2026-02-12
노크자동자정비,3,부산광역시 동래구 동래로 135(복천동),부산광역시 동래구 복천동 264-1,35.20541911,129.086297,1998-05-23,77,1,,,,,,051-903-2168,부산광역시 동래구청,051-550-4541,2026-02-12
현동카서비스,3,부산광역시 동래구 쇠미로154번길 4(온천동),부산광역시 동래구 온천동 1582-1,35.20418401,129.0619695,1998-06-01,700,1,,,,,,051-523-8203,부산광역시 동래구청,051-550-4541,2026-02-12
사직종합전문정비공업사,3,부산광역시 동래구 여고로 107(사직동),부산광역시 동래구 사직동 157-42,35.19840174,129.0747092,1998-08-20,165,1,,,,,,051-507-7680,부산광역시 동래구청,051-550-4541,2026-02-12
상용카,3,부산광역시 동래구 시실로 159(명장동),부산광역시 동래구 명장동 516-17,35.20957849,129.0978327,1998-08-21,106,1,,,,,,051-505-5153,부산광역시 동래구청,051-550-4541,2026-02-12
두성카클리닉,3,부산광역시 동래구 쇠미로 123,부산광역시 동래구 온천동 1614-4,35.20235661,129.0597381,1998-10-24,260,1,,,,,,051-553-4119,부산광역시 동래구청,051-550-4541,2026-02-12
여명카써비스,3,부산광역시 동래구 미남로 15(사직동),부산광역시 동래구 사직동 132-6,35.19560811,129.0715868,1998-11-04,90,1,,,,,,051-525-5047,부산광역시 동래구청,051-550-4541,2026-02-12
천경전문정비,3,부산광역시 동래구 안락로 122-3(안락동),부산광역시 동래구 안락동 465-4,35.19884543,129.1104044,1998-11-04,72.6,1,,,,,,051-558-6464,부산광역시 동래구청,051-550-4541,2026-02-12
현대컴퓨터카엔진테스트,3,부산광역시 동래구 낙민로 6(낙민동),부산광역시 동래구 낙민동196-9,35.19970293,129.0904628,1998-11-06,84,1,,,,,,051-526-8383,부산광역시 동래구청,051-550-4541,2026-02-12
현대모터스,3,부산광역시 동래구 미남로 66-1(사직동),부산광역시 동래구 사직동 137-23,35.20000921,129.0703049,1998-11-28,105,1,,,,,,051-521-1215,부산광역시 동래구청,051-550-4541,2026-02-12
대붕카센타,3,부산광역시 동래구 안락로 56,부산광역시 동래구 안락동 446-46,35.19970449,129.1028972,1998-11-28,85,1,,,,,,051-528-3576,부산광역시 동래구청,051-550-4541,2026-02-12
재현카센타,3,부산광역시 동래구 안남로 73(안락동),부산광역시 동래구 안락동 670-6,35.19402672,129.1001377,1998-11-28,210,1,,,,,,051-532-5533,부산광역시 동래구청,051-550-4541,2026-02-12
공임나라 명장점,3,부산광역시 동래구 반송로339번길 9-6(명장동),부산광역시 동래구 명장동 321-10,35.2093053,129.1030897,1998-12-05,900,1,,,,,,051-552-3100,부산광역시 동래구청,051-550-4541,2026-02-12
한신카센타,3,부산광역시 동래구 연안로 53(안락동),부산광역시 동래구 안락동 151-69,35.19265294,129.1074541,1998-12-09,75,1,,,,,,051-557-6888,부산광역시 동래구청,051-550-4541,2026-02-12
쌍용자동차동래서비스프라자,3,부산광역시 동래구 미남로 139(온천동),부산광역시 동래구 온천동 1422-24,35.20644419,129.0693901,1999-01-18,101,1,,,,,,051-529-5056,부산광역시 동래구청,051-550-4541,2026-02-12
홍성정비공업사,3,부산광역시 동래구 충렬사로 36-1(안락동),부산광역시 동래구 안락동 419-2,35.20228511,129.097965,1999-02-03,150,1,,,,,,051-553-6161,부산광역시 동래구청,051-550-4541,2026-02-12
하이카프라자,3,부산광역시 동래구 아시아드대로 166(사직동),부산광역시 동래구 사직동 63-16,35.19914505,129.0652822,1999-03-24,397,1,,,,,,051-504-6160,부산광역시 동래구청,051-550-4541,2026-02-12
동해카정비공업사,3,부산광역시 동래구 반송로239번길 5(안락동),부산광역시 동래구 안락동 419-71,35.20205501,129.098489,1999-05-27,87,1,,,,,,051-343-0205,부산광역시 동래구청,051-550-4541,2026-02-12
삼화카인테리어,3,부산광역시 동래구 쇠미로221번길 1(온천동),부산광역시 동래구 온천동 1158-5,35.20986846,129.0643939,1999-06-11,885,1,,,,,,051-504-0660,부산광역시 동래구청,051-550-4541,2026-02-12
제일카센타,3,부산광역시 동래구 명장로 79(명장동),부산광역시 동래구 명장동 147-50,35.20373208,129.1092959,1999-06-24,90,1,,,,,,051-502-5836,부산광역시 동래구청,051-550-4541,2026-02-12
LJ MOTORS,3,부산광역시 동래구 반송로 179(낙민동),부산광역시 동래구 낙민동 16-1,35.19750641,129.0951333,1999-07-07,2551,1,,,,,,051-554-8200,부산광역시 동래구청,051-550-4541,2026-02-12
안락점기아오토큐,3,부산광역시 동래구 충렬대로 498(안락동),부산광역시 동래구 안락동 58-2,35.19410643,129.1121187,1999-07-22,85,1,,,,,,051-526-1010,부산광역시 동래구청,051-550-4541,2026-02-12
현대자동차사직점,3,부산광역시 동래구 여고로 32(사직동),부산광역시 동래구 사직동 112-13,35.19526608,129.0674535,1999-08-02,126,1,,,,,,051-552-5189,부산광역시 동래구청,051-550-4541,2026-02-12
