자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
(주)카럽,3,전라남도 나주시 예향로 4206(경현동),,35.02818715,126.7107194,2022-07-08,704,1,,,,,,,전라남도 나주시청,061-339-8867,2025-12-02
타이어명가 티스테이션 빛가람점,3,,전라남도 나주시 빛가람동 511-3,35.01111513,126.7753287,2022-03-29,242.5,1,,,,,,,전라남도 나주시청,061-339-8867,2025-12-02
타이어할인마트,3,전라남도 나주시 예향로 4182-1(송월동),,35.026486,126.7121679,2008-08-20,432,1,,,,,,,전라남도 나주시청,061-339-8867,2025-12-02
태양카부분정비,3,전라남도 나주시 영산포로 158(이창동),,34.99580325,126.7083112,2004-11-01,278,1,,,,,,,전라남도 나주시청,061-339-8867,2025-12-02
태찬카센터,3,,전라남도 나주시 이창동 473-11,34.9962118,126.708228,2011-02-08,281,1,,,,,,,전라남도 나주시청,061-339-8867,2025-12-02
프로3급자동차공업사,3,,전라남도 나주시 남평읍 남평리 76,35.046943,126.8417907,2002-08-22,175,1,,,,,,,전라남도 나주시청,061-339-8867,2025-12-02
하나카센터,3,,전라남도 나주시 성북동 140-8,35.03537554,126.7206916,2016-02-23,1806,1,,,,,,,전라남도 나주시청,061-339-8867,2025-12-02
한국지엠나주바로서비스,3,전라남도 나주시 예향로 4117(송월동),,35.0205658,126.713230,2002-03-28,888,1,,,,,,,전라남도 나주시청,061-339-8867,2025-12-02
한국타이어 나주대리점 카센타,3,전라남도 나주시 영산로 5338(교동),,35.03512011,126.7124785,2009-09-29,523,1,,,,,,,전라남도 나주시청,061-339-8867,2025-12-02
한국타이어영산포대리점,3,,전라남도 나주시 왕곡면 장산리 400-3,34.98557779,126.7049414,1998-11-14,543,1,,,,,,,전라남도 나주시청,061-339-8867,2025-12-02
한박사카센타,3,,전라남도 나주시 동수동 4-4,34.9838185,126.695090,2021-11-05,648,1,,,,,,,전라남도 나주시청,061-339-8867,2025-12-02
