자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
르노코리아 서비스코너 영광점,03,전라남도 영광군 영광읍 천년로13길 45,전라남도 영광군 영광읍 백학리 94,35.27696791,126.5068264,1998-10-28,670,1,,,,09:00,18:00,061-351-1479,전라남도 영광군청,061-350-5339,2025-09-19
성산카센타,03,전라남도 영광군 홍농읍 홍농로 742,전라남도 영광군 홍농읍 성산리 273-3,35.4157963,126.4385463,1998-11-16,1370,1,,,,09:00,18:00,061-356-5537,전라남도 영광군청,061-350-5339,2025-09-19
신진밧데리3급부분정비,03,전라남도 영광군 영광읍 대하길 101,전라남도 영광군 영광읍 단주리 515-1,35.27808859,126.4989216,1999-11-17,178,1,,,,09:00,18:00,061-351-2788,전라남도 영광군청,061-350-5339,2025-09-19
종합카센타,03,전라남도 영광군 영광읍 옥당로 210,전라남도 영광군 영광읍 단주리 346-14,35.2804865,126.4996643,1999-12-16,129,1,,,,09:00,18:00,061-351-5494,전라남도 영광군청,061-350-5339,2025-09-19
백수중앙카센타,03,전라남도 영광군 백수읍 백수로10길 42,전라남도 영광군 백수읍 죽사리 694-3,35.28099872,126.422724,1999-12-31,281,1,,,,09:00,18:00,,전라남도 영광군청,061-350-5339,2025-09-19
태영카센타,03,전라남도 영광군 영광읍 천년로11길 2,전라남도 영광군 영광읍 신하리 831-7,35.27278193,126.5011285,2000-01-28,197,1,,,,09:00,18:00,061-352-8250,전라남도 영광군청,061-350-5339,2025-09-19
막내카,03,전라남도 영광군 영광읍 함영로 3517,전라남도 영광군 영광읍 녹사리 341-2,35.26365761,126.5087169,2000-01-28,198,1,,,,09:00,18:00,061-351-3242,전라남도 영광군청,061-350-5339,2025-09-19
양승카센타,03,전라남도 영광군 영광읍 대하길 4,전라남도 영광군 영광읍 신하리 843-1,35.27175549,126.4985991,2000-02-29,162,1,,,,09:00,18:00,061-352-5998,전라남도 영광군청,061-350-5339,2025-09-19
제일부분정비공업사,03,전라남도 영광군 영광읍 옥당로 132,전라남도 영광군 영광읍 신하리 31,35.27408136,126.5024155,2000-04-04,291.2,1,,,,09:00,18:00,061-351-1853,전라남도 영광군청,061-350-5339,2025-09-19
프로카센타,03,전라남도 영광군 영광읍 천년로 1397,전라남도 영광군 영광읍 신하리 76-2,35.27052393,126.4969744,2000-04-04,605,1,,,,09:00,18:00,061-351-1147,전라남도 영광군청,061-350-5339,2025-09-19
명성자동차공업사,03,전라남도 영광군 영광읍 중앙로 125,전라남도 영광군 영광읍 남천리 15-10,35.27016508,126.5117741,2000-11-27,134,1,,,,09:00,18:00,061-351-0951,전라남도 영광군청,061-350-5339,2025-09-19
현대자동차 홍농점,03,전라남도 영광군 홍농읍 홍농로 437,전라남도 영광군 홍농읍 상하리 147,35.39384115,126.4450445,2001-04-04,517,1,,,,09:00,18:00,061-356-2825,전라남도 영광군청,061-350-5339,2025-09-19
대명부분정비업,03,전라남도 영광군 영광읍 중앙로 69,전라남도 영광군 영광읍 녹사리 318-2,35.26562172,126.5095876,2001-05-02,176.6,1,,,,09:00,18:00,061-353-6906,전라남도 영광군청,061-350-5339,2025-09-19
영광점현대자동차,03,전라남도 영광군 영광읍 천년로 1399,전라남도 영광군 영광읍 신하리 76,35.27060695,126.4971057,2001-06-14,965,1,,,,09:00,18:00,061-353-4075,전라남도 영광군청,061-350-5339,2025-09-19
로켓트밧데리,03,전라남도 영광군 영광읍 천년로12길 12,전라남도 영광군 영광읍 신하리 830-14,35.27372505,126.5012955,2001-11-20,338.4,1,,,,09:00,18:00,,전라남도 영광군청,061-350-5339,2025-09-19
