자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
현대자동차블루핸즈괴산점,03,충청북도 괴산군 문광면 읍내로 35-17,,36.8005054009,127.7725378611,1997-10-22,496,01,,,,09:00,18:00,043-832-3000,충청북도 괴산군청,043-830-3334,2026-01-22
괴산 카센타,03,충청북도 괴산군 괴산읍 읍내로 244,,36.8051584971,127.7925658182,1998-07-29,87,01,,,,09:00,18:00,,충청북도 괴산군청,043-830-3334,2026-01-22
중원 카 공업사,03,충청북도 괴산군 연풍면 연풍로 1203-7,,36.7644480026,127.9812095062,1998-12-30,193,01,,,,09:00,18:00,,충청북도 괴산군청,043-830-3334,2026-01-22
청천 정비,03,,충청북도 괴산군 청천면 금평리 153-2,36.6765703609,127.7570941372,1999-01-26,109,01,,,,08:30,19:00,,충청북도 괴산군청,043-830-3334,2026-01-22
연풍카센타,03,충청북도 괴산군 연풍면 중원대로 204,,36.7548864759,128.0102029101,1999-02-19,198,01,,,,07:00,20:00,,충청북도 괴산군청,043-830-3334,2026-01-22
케이지모빌리티 괴산서비스프라자,03,충청북도 괴산군 괴산읍 남산길 21,,36.80614912,127.7963078,1999-03-02,219,01,,,,08:30,18:00,,충청북도 괴산군청,043-830-3334,2026-01-22
O₂자동차 정비,03,충청북도 괴산군 괴산읍 괴강로 54,,36.80850912,127.7996433,1999-04-13,147,01,,,,07:00,20:00,,충청북도 괴산군청,043-830-3334,2026-01-22
시루봉카센터,03,충청북도 괴산군 연풍면 중부로 6534,,36.75834063,127.9733365,1999-08-20,164,01,,,,07:00,21:00,,충청북도 괴산군청,043-830-3334,2026-01-22
만도자동차공업사,03,충청북도 괴산군 불정면 한불로 1606,,36.87070937,127.8529463,1999-10-05,81,01,,,,08:30,19:00,,충청북도 괴산군청,043-830-3334,2026-01-22
괴산 타이어,03,충청북도 괴산군 괴산읍 향교길 3,,36.81400163,127.7884647,2001-01-03,523,01,,,,09:00,18:00,043-834-1116,충청북도 괴산군청,043-830-3334,2026-01-22
프로미월드괴산점,03,,충청북도 괴산군 괴산읍 동부리 521,36.811741016,127.7945929225,2001-11-02,85,01,,,,09:30,18:00,,충청북도 괴산군청,043-830-3334,2026-01-22
현대카센타,03,충청북도 괴산군 괴산읍 괴강로동부1길 7,,36.8088499677,127.7957252383,2006-09-13,122,01,,,,07:30,20:00,043-833-2580,충청북도 괴산군청,043-830-3334,2026-01-22
신용카센타,03,충청북도 괴산군 괴산읍 동진천길 77,,36.8098953855,127.7977594734,2011-08-31,353,01,,,,08:00,18:00,043-833-0909,충청북도 괴산군청,043-830-3334,2026-01-22
불정산업,03,충청북도 괴산군 불정면 한불로 1196,,36.88940418,127.8156021,2016-12-27,280,01,,,,10:00,18:00,,충청북도 괴산군청,043-830-3334,2026-01-22
중앙카시트,03,충청북도 괴산군 괴산읍 읍내로 236,,36.80453788,127.7922059,2017-01-31,82,01,,,,,,,충청북도 괴산군청,043-830-3334,2026-01-22
3급성민자동차정비,03,충청북도 괴산군 청천면 청천2길 7,,36.6590701,127.7384915,2017-04-17,378,01,,,,09:00,18:00,,충청북도 괴산군청,043-830-3334,2026-01-22
