자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
왕자카공업사,3,,충청북도 음성군 음성읍 신천리 627,36.93288977,127.670520,1997-11-24,102.2,3,2007-06-04,,,09:00,18:00,043-872-0962,충청북도 음성군,043-871-3883,2025-12-26
신선모터뱅크,3,,충청북도 음성군 대소면 태생리 산38-2,36.9739704,127.486179,1998-05-09,139,3,2009-10-13,,,09:00,18:00,043-883-1100,충청북도 음성군,043-871-3883,2025-12-26
현대카센터,3,,충청북도 음성군 대소면 오산리 129-5,36.970376,127.486529,1998-07-03,185.3,3,2005-10-17,,,09:00,18:00,043-877-3889,충청북도 음성군,043-871-3883,2025-12-26
미남사,3,,충청북도 음성군 금왕읍 오선리 산110,36.9789602,127.552495,1998-08-25,76.5,3,2018-12-19,,,09:00,18:00,043-000-0000,충청북도 음성군,043-871-3883,2025-12-26
만도프라자 음성점,3,,충청북도 음성군 소이면 대장리 547-1,36.935040,127.746503,1998-09-11,61.8,3,2013-09-05,,,09:00,18:00,043-873-2840,충청북도 음성군,043-871-3883,2025-12-26
믿음카서비스,3,,충청북도 음성군 생극면 신양리 371-6,37.035216,127.610538,1998-11-03,107.2,3,2003-08-07,,,09:00,18:00,043-878-3934,충청북도 음성군,043-871-3883,2025-12-26
차평자동차공업사,3,,충청북도 음성군 생극면 차평리 511-1,37.056568,127.603245,1998-11-03,119,3,2005-10-26,,,09:00,18:00,043-878-3093,충청북도 음성군,043-871-3883,2025-12-26
무극밧데리,3,,충청북도 음성군 금왕읍 무극리 593-9,36.990982,127.5825319,1998-11-03,135.7,3,2005-12-05,,,09:00,18:00,043-878-1277,충청북도 음성군,043-871-3883,2025-12-26
형제카센타,3,,충청북도 음성군 삼성면 양덕리 397-21,37.017454,127.490910,1998-11-09,121.9,3,2017-12-28,,,09:00,18:00,043-877-2003,충청북도 음성군,043-871-3883,2025-12-26
태양카센타,3,,충청북도 음성군 금왕읍 무극리 57-15,36.992176,127.591535,1998-11-09,75,3,2004-02-10,,,09:00,18:00,043-878-8263,충청북도 음성군,043-871-3883,2025-12-26
차평3급부분정비공업사,3,,충청북도 음성군 생극면 차평리 593-8,37.055023,127.602241,1998-11-20,92.12,3,2012-06-19,,,09:00,18:00,043-878-3977,충청북도 음성군,043-871-3883,2025-12-26
목화자동차부분정비공업사,3,,충청북도 음성군 감곡면 문촌리 64-3,37.111909,127.717705,1998-12-22,99.45,3,2023-03-17,,,09:00,18:00,043-881-8866,충청북도 음성군,043-871-3883,2025-12-26
